;linha_identificada;distancia_identificada;linha_faltosa;distancia real;tipo_de_falta;r_f;erro
58;l1;471,8303377957979;l1;471,83040000000005;.1.3.0;r_0_00001;-1,0819171290743075e-07
59;l1;471,8302794235501;l1;471,83040000000005;.1.2.3.0;r_0_00001;-2,097185110412881e-07
60;l1;550,4687446813153;l1;550,4688;.1.0;r_0_00001;-9,62157384942054e-08
61;l1;550,4686903461231;l1;550,4688;.2.0;r_0_00001;-1,9072088946906392e-07
62;l1;550,4687463687151;l1;550,4688;.3.0;r_0_00001;-9,328084565824269e-08
63;l1;550,4685999611665;l1;550,4688;.1.2;r_0_00001;-3,479273632533224e-07
64;l1;550,4686865866513;l1;550,4688;.2.3;r_0_00001;-1,972597354584396e-07
65;l1;550,4687011029083;l1;550,4688;.1.3;r_0_00001;-1,7201162268379045e-07
66;l1;550,4686096232375;l1;550,4688;.1.2.0;r_0_00001;-3,311221319050918e-07
67;l1;550,4686783453994;l1;550,4688;.2.3.0;r_0_00001;-2,1159373741708726e-07
68;l1;550,4687001224536;l1;550,4688;.1.3.0;r_0_00001;-1,7371692671285675e-07
69;l1;550,4686085650891;l1;550,4688;.1.2.3.0;r_0_00001;-3,3296256851429457e-07
70;l1;629,1071189403751;l1;629,1072;.1.0;r_0_00001;-1,409869327569937e-07
71;l1;629,1070427640673;l1;629,1072;.2.0;r_0_00001;-2,734803165626434e-07
72;l1;629,1071293425276;l1;629,1072;.3.0;r_0_00001;-1,2289447826507536e-07
73;l1;629,1069010224078;l1;629,1072;.1.2;r_0_00001;-5,200114575484811e-07
74;l1;629,107032205435;l1;629,1072;.2.3;r_0_00001;-2,918449362544344e-07
75;l1;629,1070511557873;l1;629,1072;.1.3;r_0_00001;-2,5888460545511655e-07
76;l1;629,1069122981633;l1;629,1072;.1.2.0;r_0_00001;-5,00399546193587e-07
77;l1;629,1070227085495;l1;629,1072;.2.3.0;r_0_00001;-3,083628606156768e-07
78;l1;629,1070498358342;l1;629,1072;.1.3.0;r_0_00001;-2,6118039864592787e-07
79;l1;629,1069142831703;l1;629,1072;.1.2.3.0;r_0_00001;-4,96947025148279e-07
80;l1;707,7454860514246;l1;707,7456000000001;.1.0;r_0_00001;-1,9819065500594876e-07
81;l1;707,7453824137718;l1;707,7456000000001;.2.0;r_0_00001;-3,7844753126953054e-07
82;l1;707,7455085545968;l1;707,7456000000001;.3.0;r_0_00001;-1,5905090781260468e-07
83;l1;707,7451739406191;l1;707,7456000000001;.1.2;r_0_00001;-7,410446984744131e-07
84;l1;707,7453625553559;l1;707,7456000000001;.2.3;r_0_00001;-4,129872562929904e-07
85;l1;707,7453868815041;l1;707,7456000000001;.1.3;r_0_00001;-3,7067680847677504e-07
86;l1;707,7451870253138;l1;707,7456000000001;.1.2.0;r_0_00001;-7,182865006905645e-07
87;l1;707,745351772404;l1;707,7456000000001;.2.3.0;r_0_00001;-4,3174203484998665e-07
88;l1;707,7453851484808;l1;707,7456000000001;.1.3.0;r_0_00001;-3,7369105451200814e-07
89;l1;707,7451932328077;l1;707,7456000000001;.1.2.3.0;r_0_00001;-7,074898122822825e-07
90;l2;839,1164938047124;l2;839,1144;.1.0;r_0_00001;3,641752654711166e-06
91;l2;839,1147507158698;l2;839,1144;.2.0;r_0_00001;6,09999797172931e-07
92;l2;839,1149239974967;l2;839,1144;.3.0;r_0_00001;9,113883750832997e-07
93;l2;839,1124548894824;l2;839,1144;.1.2;r_0_00001;-3,3831289755704217e-06
94;l2;839,1138782440959;l2;839,1144;.2.3;r_0_00001;-9,074895752915362e-07
95;l2;839,1149104084682;l2;839,1144;.1.3;r_0_00001;8,877529899780598e-07
96;l2;839,1135593781911;l2;839,1144;.1.2.0;r_0_00001;-1,4620927569386852e-06
97;l2;839,1137917133094;l2;839,1144;.2.3.0;r_0_00001;-1,0579924944293654e-06
98;l2;839,1139762326171;l2;839,1144;.1.3.0;r_0_00001;-7,370582283363665e-07
99;l2;839,1135781052362;l2;839,1144;.1.2.3.0;r_0_00001;-1,4295208241707046e-06
100;l2;891,8493190538348;l2;891,8448000000001;.1.0;r_0_00001;7,8599862740945e-06
101;l2;891,845207267789;l2;891,8448000000001;.2.0;r_0_00001;7,083604992496512e-07
102;l2;891,8454764655121;l2;891,8448000000001;.3.0;r_0_00001;1,1765758571910496e-06
103;l2;891,8410588163042;l2;891,8448000000001;.1.2;r_0_00001;-6,507037440474927e-06
104;l2;891,8436000002231;l2;891,8448000000001;.2.3;r_0_00001;-2,087158533819315e-06
105;l2;891,8460371118729;l2;891,8448000000001;.1.3;r_0_00001;2,1517075687147662e-06
106;l2;891,8433047825808;l2;891,8448000000001;.1.2.0;r_0_00001;-2,6006303137032663e-06
107;l2;891,8434706326914;l2;891,8448000000001;.2.3.0;r_0_00001;-2,3121673654807773e-06
108;l2;891,8441567073136;l2;891,8448000000001;.1.3.0;r_0_00001;-1,118878391588961e-06
109;l2;891,8433362424097;l2;891,8448000000001;.1.2.3.0;r_0_00001;-2,5459122616589645e-06
110;l2;944,5823206036176;l2;944,5752;.1.0;r_0_00001;1,2384859473740157e-05
111;l2;944,5750768557846;l2;944,5752;.2.0;r_0_00001;-2,141846232291049e-07
112;l2;944,5755407460434;l2;944,5752;.3.0;r_0_00001;5,926592871590334e-07
113;l2;944,5691892904272;l2;944,5752;.1.2;r_0_00001;-1,0454421758916842e-05
114;l2;944,5728163690636;l2;944,5752;.2.3;r_0_00001;-4,1458471457662095e-06
115;l2;944,5770922862474;l2;944,5752;.1.3;r_0_00001;3,2912517697812668e-06
116;l2;944,572665388878;l2;944,5752;.1.2.0;r_0_00001;-4,408446846903423e-06
117;l2;944,5726998188236;l2;944,5752;.2.3.0;r_0_00001;-4,348562873508193e-06
118;l2;944,57424513183;l2;944,5752;.1.3.0;r_0_00001;-1,6608013500053739e-06
119;l2;944,572715460038;l2;944,5752;.1.2.3.0;r_0_00001;-4,321358123326013e-06
120;l2;997,3154982080348;l2;997,3056;.1.0;r_0_00001;1,7215944340567004e-05
121;l2;997,3043590395224;l2;997,3056;.2.0;r_0_00001;-2,15840144361944e-06
122;l2;997,3051166819204;l2;997,3056;.3.0;r_0_00001;-8,406347016530015e-07
123;l2;997,2968163695205;l2;997,3056;.1.2;r_0_00001;-1,5277360600342903e-05
124;l2;997,3014988322436;l2;997,3056;.2.3;r_0_00001;-7,133157393494196e-06
125;l2;997,3080733264006;l2;997,3056;.1.3;r_0_00001;4,301854386095758e-06
126;l2;997,3016401378416;l2;997,3056;.1.2.0;r_0_00001;-6,8873846939789005e-06
127;l2;997,3014787076628;l2;997,3056;.2.3.0;r_0_00001;-7,168160058845624e-06
128;l2;997,3042409652036;l2;997,3056;.1.3.0;r_0_00001;-2,363768000268934e-06
129;l2;997,3017147448884;l2;997,3056;.1.2.3.0;r_0_00001;-6,757620724473417e-06
